date,time,decision_type,decision_quality,confidence,energy
2022-01-01,21:13,Analytical,8.38,8.05,6.33
2022-01-01,20:13,Creative,4.68,4.39,9.59
2022-01-01,10:13,Analytical,2.39,3.67,7.43
2022-01-01,12:13,Analytical,4.31,3.23,10.0
2022-01-01,13:13,Social,4.2,3.05,9.02
2022-01-02,09:01,Emotional,9.13,8.2,9.71
2022-01-02,22:01,Social,7.09,8.19,10.0
2022-01-02,07:01,Analytical,9.93,10.0,10.0
2022-01-02,17:01,Analytical,9.13,7.94,10.0
2022-01-02,17:01,Analytical,10.0,8.99,8.56
2022-01-02,19:01,Analytical,9.75,9.7,7.32
2022-01-03,18:16,Creative,9.15,10.0,8.76
2022-01-03,11:16,Analytical,6.61,5.06,8.89
2022-01-03,05:16,Creative,9.12,9.59,8.37
2022-01-03,19:16,Analytical,7.08,5.99,10.0
2022-01-04,07:24,Creative,5.77,4.23,8.99
2022-01-04,10:24,Analytical,5.76,7.16,3.13
2022-01-04,11:24,Analytical,2.85,2.71,6.82
2022-01-04,15:24,Analytical,7.6,8.3,5.32
2022-01-04,20:24,Creative,2.86,4.09,3.88
2022-01-04,08:24,Analytical,7.35,7.06,8.99
2022-01-05,21:46,Creative,6.72,6.59,5.32
2022-01-05,08:46,Creative,5.19,5.62,6.51
2022-01-05,19:46,Emotional,4.81,4.65,6.52
2022-01-06,16:16,Analytical,2.7,3.16,4.2
2022-01-06,10:16,Emotional,3.67,1.98,2.57
2022-01-06,12:16,Analytical,3.86,3.15,10.0
2022-01-06,11:16,Emotional,4.61,4.79,6.96
2022-01-06,08:16,Analytical,6.09,6.02,3.77
2022-01-06,14:16,Creative,7.57,9.38,2.79
2022-01-07,13:55,Emotional,1.0,1.0,1.0
2022-01-07,13:55,Social,1.11,1.0,6.97
2022-01-07,15:55,Analytical,2.63,2.85,4.69
2022-01-07,12:55,Analytical,2.51,1.94,1.01
2022-01-07,20:55,Creative,1.0,1.86,2.92
2022-01-07,08:55,Social,1.0,1.0,2.49
2022-01-08,08:39,Analytical,3.83,5.8,1.89
2022-01-08,13:39,Analytical,4.7,6.19,9.2
2022-01-08,17:39,Social,2.84,3.33,5.8
2022-01-09,09:59,Creative,3.2,3.1,5.05
2022-01-09,09:59,Emotional,1.0,1.68,4.43
2022-01-09,19:59,Social,2.58,4.62,2.83
2022-01-09,12:59,Creative,2.31,4.3,2.52
2022-01-09,06:59,Creative,2.08,1.94,5.86
2022-01-09,20:59,Analytical,3.72,2.43,3.12
2022-01-10,17:08,Social,1.51,1.43,5.41
2022-01-10,06:08,Creative,3.05,1.27,6.69
2022-01-10,12:08,Analytical,3.3,4.68,5.45
2022-01-10,09:08,Emotional,4.07,4.54,7.25
2022-01-10,13:08,Social,3.2,3.1,9.1
2022-01-11,14:33,Analytical,4.44,5.01,1.55
2022-01-11,12:33,Analytical,1.17,1.46,4.39
2022-01-11,10:33,Social,1.68,1.82,7.28
2022-01-11,21:33,Creative,3.65,2.51,3.88
2022-01-12,06:44,Analytical,1.0,1.0,1.58
2022-01-12,16:44,Emotional,1.0,1.0,2.15
2022-01-12,11:44,Social,1.0,1.0,6.52
2022-01-12,13:44,Emotional,2.09,1.71,2.45
